sec_code,name,market,sector33,period_end,scope,price,market_cap,avg_volume_3m,pbr,theoretical_pbr,lower_deviation_pct,adjusted_roe_pct,per,sector_avg_per,equity_ratio_pct,technical_signal,result
4540,ツムラ,プライム（内国株式）,医薬品,2026-03-31,連結,3800.0,291681775600.0,350389.23076923075,0.7849284736667895,1.8738285663374612,58.11097729174921,10.773863504869444,10.098862549165515,17.3923547990983,54.3,goldenCross,全条件充足
3110,日東紡績,プライム（内国株式）,ガラス・土石製品,2026-03-31,連結,3145.0,118638835000.0,7847506.153846154,0.6577051884046723,1.4924135999398627,55.93009950919941,11.943475826435971,2.741122945247268,12.495638804212415,61.3,goldenCross,全条件充足
4620,藤倉化成,スタンダード（内国株式）,化学,2026-03-31,連結,986.0,30418100000.0,133626.15384615384,0.6017904602103126,1.2276486208716426,50.9802357141056,8.329885813514142,9.22961714874099,14.73788054669302,67.7,ma25Reversal,全条件充足
4043,トクヤマ,プライム（内国株式）,化学,2026-03-31,連結,4132.0,297867616000.0,768330.7692307692,1.0001901071484935,1.8905656625353444,47.09572235607052,12.827934495367868,13.387765681700364,14.73788054669302,50.8,goldenCross,全条件充足
8060,キヤノンマーケティングジャパン,プライム（内国株式）,卸売業,2025-12-31,連結,3780.0,419882294160.0,383064.6153846154,1.0146643036726646,1.8663742449757958,45.634467127688886,14.460361418415038,9.909295863262203,12.906829856956398,73.1,goldenCross,全条件充足
6653,正興電機製作所,プライム（内国株式）,電気機器,2025-12-31,連結,2210.0,30736680000.0,134024.61538461538,1.6991917740063023,2.9246542487889333,41.901105926968334,17.281220631322903,14.662951167728238,16.923886982195462,52.1,ma25Reversal,全条件充足
6458,新晃工業,プライム（内国株式）,機械,2026-03-31,連結,1263.0,91621809000.0,234650.7692307692,1.3706196089577691,2.327252936826403,41.10568785759759,15.050787619489281,12.681996184355858,15.462665447573261,67.9,ma25Reversal,全条件充足
7003,三井Ｅ＆Ｓ,プライム（内国株式）,機械,2026-03-31,連結,4256.0,438785088000.0,2451330.769230769,1.8766015080040543,2.968749234546632,36.7881434320391,19.19946625381171,11.166207529843895,15.462665447573261,46.3,goldenCross,全条件充足
7734,理研計器,プライム（内国株式）,精密機器,2026-03-31,連結,3420.0,161841240000.0,114038.46153846152,1.8954549811341368,2.740947925670389,30.846735051686874,15.745299977578897,15.737161789066814,17.408038777117383,84.5,ma25Reversal,全条件充足
7283,愛三工業,プライム（内国株式）,輸送用機器,2026-03-31,連結,2363.0,149830455077.0,246555.38461538465,1.0239286476159886,1.4165069071088832,27.714531960465628,13.140935836368731,10.381793418566847,10.779345738745425,45.5,ma25Reversal,全条件充足
