sec_code,name,market,sector33,period_end,scope,price,market_cap,avg_volume_3m,revenue_cagr_pct,profit_cagr_pct,profit_turnaround,equity_ratio_pct,listing_years,pbr,sector_avg_pbr,shares_growth_pct,unmet_conditions,result
3996,サインポスト,スタンダード（内国株式）,情報・通信業,2026-02-28,個別,205.0,2623301975.0,146828.125,10.320455034915454,,True,61.7,8.848733744010952,1.3957913859309996,3.4085920551101854,0.028140400273746202,,全条件充足
8946,ＡＳＩＡＮ　ＳＴＡＲ,スタンダード（内国株式）,不動産業,2025-12-31,連結,76.0,1809423200.0,183154.6875,15.596934706098441,156.58461385597664,False,58.3,21.01574264202601,0.7688624474531705,1.4612509483675153,0.0,上場からの年数,8/9条件充足
3909,ショーケース,スタンダード（内国株式）,情報・通信業,2026-03-31,連結,189.0,1925078400.0,20309.375,19.590552170820175,11.547892091163048,False,70.8,11.520876112251882,1.1431622677990538,3.4085920551101854,0.0,出来高（流動性）,8/9条件充足
7782,シンシア,スタンダード（内国株式）,精密機器,2025-12-31,連結,492.0,3376202400.0,3634.375,13.09762720645422,45.8078354409371,False,52.35999999999999,9.765913757700206,1.1977165285614855,2.523307920947807,0.0,出来高（流動性）,8/9条件充足
7034,プロレド・パートナーズ,プライム（内国株式）,サービス業,2025-10-31,連結,343.0,3842217400.0,34876.5625,35.499447810439875,75.3204404537005,False,47.1,8.186173853524982,0.3230845207545253,2.2597451950102174,0.055378898853120084,自己資本比率,8/9条件充足
3935,エディア,スタンダード（内国株式）,情報・通信業,2026-02-28,連結,713.0,4440564000.0,55076.5625,16.912821770875276,38.327275553486075,False,57.99999999999999,10.433949349760438,2.7486340590497496,3.4085920551101854,0.4840271055179146,株価,8/9条件充足
6494,ＮＦＫホールディングス,スタンダード（内国株式）,機械,2026-03-31,連結,97.0,4728168000.0,344756.25,17.294633791337933,16.745178561722064,False,71.39999999999999,26.68309377138946,0.7229742912871238,3.703710682673274,10.653560645615311,上場からの年数,8/9条件充足
2330,フォーサイド,スタンダード（内国株式）,情報・通信業,2025-12-31,連結,110.0,4805647440.0,424825.0,15.627854659064933,27.345731112979642,False,65.3,23.93429158110883,1.561296068273215,3.4085920551101854,0.0,上場からの年数,8/9条件充足
3134,Ｈａｍｅｅ,スタンダード（内国株式）,小売業,2026-04-30,連結,310.0,5061711000.0,83310.9375,13.261566331523845,-24.37478743087651,False,53.5,11.436002737850787,0.6915078614670285,2.4065269018122617,0.1945214894087055,経常利益成長率,8/9条件充足
2436,共同ピーアール,スタンダード（内国株式）,サービス業,2025-12-31,連結,595.0,5244920240.0,44376.5625,11.126250478021248,35.13217439965401,False,62.8,21.519507186858316,1.116177486198133,2.2597451950102174,0.056753740525539165,上場からの年数,8/9条件充足
4440,ヴィッツ,スタンダード（内国株式）,情報・通信業,2025-08-31,連結,1614.0,6740064000.0,396323.4375,21.9077582396485,18.93682972807751,False,69.38,7.436002737850787,2.3751487096792383,3.4085920551101854,0.0,株価,8/9条件充足
4936,アクシージア,スタンダード（内国株式）,化学,2025-07-31,連結,318.0,7666026000.0,49062.5,23.533405705358245,-22.119326600918953,False,79.10000000000001,5.596167008898015,1.0120043426535281,1.2216890131651057,-4.211864743513328,経常利益成長率,8/9条件充足
8769,アドバンテッジリスクマネジメント,スタンダード（内国株式）,サービス業,2026-03-31,連結,504.0,8205220800.0,34039.0625,14.407078636011938,28.962633054829247,False,50.4,19.76728268309377,1.87364950156099,2.2597451950102174,0.0,上場からの年数,8/9条件充足
9160,オンザページ,スタンダード（内国株式）,サービス業,2025-12-31,連結,332.0,8324267208.0,32885.9375,18.46126901087708,36.087930709198865,False,27.500000000000004,3.268993839835729,0.8234470309277331,2.2597451950102174,0.2923760000000053,自己資本比率,8/9条件充足
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業,2025-12-31,連結,179.0,16311733000.0,371259.375,55.7454510768014,49.7846137507383,False,70.1,10.767967145790555,1.4607040275238683,1.4612509483675153,0.0,時価総額,8/9条件充足
6572,オープングループ,プライム（内国株式）,サービス業,2026-02-28,連結,273.0,17219199270.0,278946.875,8.383942969424485,33.34600370745693,False,54.2,8.5201916495551,1.6183211562004414,2.2597451950102174,0.8393259684407406,時価総額,8/9条件充足
