sec_code,name,market,sector33,price,change_1d_pct,change_5d_pct,change_20d_pct,volume,turnover_yen,volume_rising,market_cap,is_large_cap
6098,リクルートホールディングス,プライム（内国株式）,サービス業,18215.0,2.331460674157304,10.293672419013022,45.13944223107569,5950100.0,108381071500.0,True,26821663074035.0,True
9503,関西電力,プライム（内国株式）,電気・ガス業,2810.5,7.578947368421063,8.849728892331532,15.160827699241963,10829700.0,30436871850.0,True,3133502333500.0,True
4392,ＦＩＧ,プライム（内国株式）,情報・通信業,1215.0,6.672519754170314,22.1105527638191,38.857142857142854,6649000.0,8078535000.0,True,38385634725.0,False
