sec_code,name,market,sector33,period_end,scope,price,market_cap,beta,cost_of_equity_pct,interest_bearing_debt,cost_of_debt_after_tax_pct,wacc_pct,fcf0,ev,implied_growth_pct,operating_income,projected_operating_income_10y
3087,ドトール・日レスホールディングス,プライム（内国株式）,小売業,2026-02-28,連結,3410.0,155529285010.0,0.1242804653707725,3.5456827922246346,554000000.0,3.2851985559566788,3.5447582328339013,2000000.0,129261285010.0,115.89989345048318,10150000000.0,22335224510187.062
4975,ＪＣＵ,プライム（内国株式）,化学,2026-03-31,連結,5360.0,140533840000.0,1.4063532212171008,11.238119327302606,330000000.0,0.8484848484848485,11.213779657320517,64000000.0,118854840000.0,83.51242654612159,12156000000.0,5265570960169.974
9831,ヤマダホールディングス,プライム（内国株式）,小売業,2026-03-31,連結,706.2000122070312,682798662402.5269,0.2240525444299916,4.14431526657995,297614000000.0,0.7568864367939679,3.1160276052624836,106000000.0,943119662402.5269,73.05709514331109,16166000000.0,3894903214061.546
6339,新東工業,プライム（内国株式）,機械,2026-03-31,連結,1205.0,65768900000.0,1.2321432490933617,10.192859494560171,48708000000.0,1.813665106348033,6.627652887279255,37000000.0,83253900000.0,70.49831357529823,3831000000.0,795267123042.2765
1930,北陸電気工事,プライム（内国株式）,建設業,2026-03-31,連結,1544.0,46262872000.0,1.073994753379501,9.243968520277004,74000000.0,4.72972972972973,9.23675927942664,27000000.0,28944872000.0,67.2951103491361,5121000000.0,879401603215.9513
6800,ヨコオ,プライム（内国株式）,電気機器,2026-03-31,連結,3955.0,94326267490.0,2.348241342472372,16.889448054834233,11029000000.0,1.136095747574576,15.240325740060005,241000000.0,87181267490.0,64.43529855009966,5016000000.0,724949975346.2164
6498,キッツ,プライム（内国株式）,機械,2025-12-31,連結,1918.0,167950841898.0,1.213289928384657,10.079739570307943,33757000000.0,0.7029653108984804,8.510480954993673,199000000.0,173653841898.0,61.421530524396914,15454000000.0,1856331420386.5283
9412,スカパーＪＳＡＴ,プライム（内国株式）,情報・通信業,2026-03-31,連結,2193.0,652815011952.0,1.0473580479194111,9.084148287516467,32363000000.0,1.8947563575688287,8.744571875299089,767000000.0,627531011952.0,61.11033042911258,35273000000.0,4156007111737.919
6324,ハーモニック・ドライブ・システムズ,プライム（内国株式）,機械,2026-03-31,連結,5750.0,553813550000.0,1.974320126902872,14.645920761417234,13219786000.0,1.3746591661922516,14.33651525189902,1629287000.0,547941536000.0,61.0978630928378,2567642000.0,302295907649.9618
4062,イビデン,プライム（内国株式）,電気機器,2026-03-31,連結,20175.0,5683723474950.0,3.2666438485097347,22.39986309105841,105000000000.0,0.904,22.009955776547997,42130000000.0,5495815474950.0,59.86469008188171,62027000000.0,6762484416451.65
4047,関東電化工業,プライム（内国株式）,化学,2026-03-31,連結,2360.0,135808678000.0,2.2120022180545837,16.072013308327502,39282000000.0,0.871391477012372,12.661718519374084,394000000.0,155728678000.0,59.86141049748637,5478000000.0,597115621709.8188
3665,エニグモ,プライム（内国株式）,情報・通信業,2026-01-31,連結,425.0,18122850000.0,0.98374141828513,8.70244850971078,68892000.0,4.493119665563491,8.686507810753474,14982000.0,10701295000.0,58.671166463082905,46921000.0,4746214959.659089
6794,フォスター電機,プライム（内国株式）,電気機器,2026-03-31,連結,2949.0,73725000000.0,1.4120874786455588,11.272524871873355,7503000000.0,3.3399973343995732,10.539800268120144,132000000.0,60777000000.0,56.90219363075448,7670000000.0,693562364343.0294
4182,三菱瓦斯化学,プライム（内国株式）,化学,2026-03-31,連結,3910.0,827692260000.0,1.752580592503124,13.315483555018744,221679000000.0,0.853531457648221,10.68290423414712,2804000000.0,990275260000.0,52.95217680993194,45293000000.0,3173859587951.0684
6996,ニチコン,プライム（内国株式）,電気機器,2026-03-31,連結,2736.0,191520000000.0,1.59350954636644,12.36105727819864,24150000000.0,0.7710144927536231,11.063243334356208,595000000.0,191229000000.0,52.4145174804578,6456000000.0,436743929134.51117
6963,ローム,プライム（内国株式）,電気機器,2026-03-31,連結,4830.0,1950160800000.0,1.8772626774983636,14.063576064990183,400000000000.0,0.2667,11.715332308224232,7045000000.0,1921446800000.0,51.38996326961707,10864000000.0,687006099722.3759
6965,浜松ホトニクス,プライム（内国株式）,電気機器,2025-09-30,連結,2343.5,748024375659.0,1.641084228460352,12.64650537076211,66061000000.0,0.8519398737530463,11.68940576598517,2965000000.0,728048375659.0,49.63487584506955,16163000000.0,909599576018.1365
4004,レゾナック・ホールディングス,プライム（内国株式）,化学,2025-12-31,連結,16175.0,2990773675000.0,2.2450062824851336,16.2700376949108,946621000000.0,0.9624231873157261,12.58980989229811,17433000000.0,3675423675000.0,49.3016147380766,46676000000.0,2568849604206.3867
4186,東京応化工業,プライム（内国株式）,化学,2025-12-31,連結,8609.0,1100230200000.0,1.965520321827817,14.593121930966902,26483000000.0,0.444058452592229,14.260553138750925,6471000000.0,1057485200000.0,48.84202402833394,47386000000.0,2528748985402.3667
6976,太陽誘電,プライム（内国株式）,電気機器,2026-03-31,連結,9244.0,1203739638364.0,3.0833086608704643,21.299851965222786,120399000000.0,1.0808229304230101,19.461410878896245,17054000000.0,1226065638364.0,45.04513488002818,19996000000.0,824090277402.4921
5192,三ツ星ベルト,プライム（内国株式）,ゴム製品,2026-03-31,連結,4405.0,137013120000.0,0.7235377058927627,7.141226235356576,2000000000.0,1.8549999999999998,7.065172604802041,268000000.0,113169120000.0,45.038289180959104,8678000000.0,357475538595.78406
6331,三菱化工機,プライム（内国株式）,機械,2026-03-31,連結,3265.0,77514365000.0,2.072514333814052,15.235086002884312,5500000000.0,0.34363636363636363,14.248473950670654,624000000.0,73990365000.0,43.640068542604524,9181000000.0,343278041939.1198
4549,栄研化学,プライム（内国株式）,医薬品,2026-03-31,連結,2298.0,79376224524.0,0.8494302214494852,7.896581328696911,2950000000.0,0.6881355932203389,7.638280707690579,228000000.0,74383224524.0,43.0199863190064,2919000000.0,104520485074.47935
5269,日本コンクリート工業,プライム（内国株式）,ガラス・土石製品,2026-03-31,連結,382.0,22070814000.0,1.0957812175948962,9.374687305569378,12434797000.0,0.7749945576111937,6.275613546718037,63594000.0,27606430000.0,42.65477037706845,322763000.0,11265403038.683054
8035,東京エレクトロン,プライム（内国株式）,電気機器,2026-03-31,連結,56230.0,26519867360000.0,2.3011664874518987,16.60699892471139,0.0,0.0,16.60699892471139,323732000000.0,26014453360000.0,41.88526818956565,624936000000.0,20663724241754.965
6981,村田製作所,プライム（内国株式）,電気機器,2026-03-31,連結,7397.0,14520318397000.0,2.266040316046282,16.39624189627769,0.0,0.0,16.39624189627769,177444000000.0,13866617397000.0,41.05038730948952,281835000000.0,8784918882097.916
7013,ＩＨＩ,プライム（内国株式）,機械,2026-03-31,連結,2766.0,2994911394000.0,1.7380991169162756,13.228594701497652,359533000000.0,1.1730494836357164,11.936468247839242,23760000000.0,3199360394000.0,40.75330077079965,165534000000.0,5052113413136.333
7272,ヤマハ発動機,プライム（内国株式）,輸送用機器,2025-12-31,連結,1924.5,1959381562500.0,1.4611177355770832,11.566706413462498,1044323000000.0,0.6891929029620146,7.784830631254508,10605000000.0,2604800562500.0,39.24390123188489,126373000000.0,3462709996020.1587
6638,ミマキエンジニアリング,プライム（内国株式）,電気機器,2026-03-31,連結,1994.0,63887760000.0,1.768871387564568,13.413228325387408,21582092000.0,1.447121066854872,10.391652627145682,487881000.0,75049953000.0,39.225097052674194,9431122000.0,258070673921.22363
2378,ルネサンス,プライム（内国株式）,サービス業,2026-03-31,連結,1065.0,22768635000.0,0.3425155026254821,4.855093015752892,14450790000.0,4.107884067237847,4.564982150227384,52413000.0,28648647000.0,38.81632615750713,1565873000.0,41606578165.59764
