sec_code,name,market,sector33,price,change_1d_pct,change_5d_pct,change_20d_pct,volume,turnover_yen,volume_rising,market_cap,is_large_cap
3103,ユニチカ,スタンダード（内国株式）,繊維製品,1665.0,4.4542032622333805,62.915851272015665,76.19047619047619,56270200.0,93689883000.0,True,96157080000.0,True
4480,メドレー,プライム（内国株式）,情報・通信業,2810.0,4.968248038849454,34.44976076555024,33.04924242424243,1905600.0,5354736000.0,True,91995466000.0,True
6855,日本電子材料,スタンダード（内国株式）,電気機器,7590.0,8.739255014326641,17.674418604651155,14.65256797583081,1106200.0,8396058000.0,True,111296040900.0,True
5803,フジクラ,プライム（内国株式）,非鉄金属,6078.0,7.290379523389223,17.222757955641278,27.662255828607442,66184600.0,402269998800.0,True,1798255314000.0,True
7911,ＴＯＰＰＡＮホールディングス,プライム（内国株式）,その他製品,5433.0,2.878242757053595,15.644955300127705,14.475347661188366,1879100.0,10209150300.0,True,1601137698000.0,True
5805,ＳＷＣＣ,プライム（内国株式）,非鉄金属,14680.0,2.94530154277699,13.271604938271597,32.61065943992774,481400.0,7066952000.0,True,452525680000.0,True
4062,イビデン,プライム（内国株式）,電気機器,21580.0,3.8248737070002425,12.925170068027203,23.9873599540362,6812000.0,147002960000.0,True,6079541640120.0,True
5801,古河電気工業,プライム（内国株式）,非鉄金属,4298.0,5.94035001232438,11.462655601659755,23.719055843408164,26957200.0,115862045600.0,True,303726409266.0,True
7747,朝日インテック,プライム（内国株式）,精密機器,4103.0,5.9112028910686565,11.222553537544044,18.310265282583615,3334100.0,13679812300.0,True,1114512660800.0,True
5713,住友金属鉱山,プライム（内国株式）,非鉄金属,9947.0,3.7767344809598313,10.534503833759313,36.70973062122045,2400400.0,23876778800.0,True,2892726858000.0,True
6592,マブチモーター,プライム（内国株式）,電気機器,1786.0,2.5258323765786406,8.340915984228081,10.485617073925146,2986700.0,5334246200.0,True,232760314264.0,True
5838,楽天銀行,プライム（内国株式）,銀行業,6220.0,2.6911012052170946,7.668339968841953,12.011525301638759,1270400.0,7901888000.0,True,1085383780000.0,True
9104,商船三井,プライム（内国株式）,海運業,6629.0,2.4416628032761567,7.161332040090529,20.047084389713877,3114900.0,20648672100.0,True,2406339111183.0,True
