sec_code,name,market,sector33,price,change_1d_pct,change_5d_pct,change_20d_pct,volume,turnover_yen,volume_rising,market_cap,is_large_cap
6235,オプトラン,プライム（内国株式）,機械,2674.0,-4.839857651245549,-16.697819314641748,-19.4578313253012,2306800.0,6168383200.0,True,118613292000.0,True
6361,荏原製作所,プライム（内国株式）,機械,4921.0,-2.089136490250698,-16.02389078498293,-14.447148817802502,2962200.0,14576986200.0,True,2274481279000.0,True
7966,リンテック,プライム（内国株式）,その他製品,5490.0,-4.188481675392675,-10.586319218241048,-19.026548672566367,1507000.0,8273430000.0,True,397959120000.0,True
4704,トレンドマイクロ,プライム（内国株式）,情報・通信業,5472.0,-4.1345480028030845,-6.47752520936592,-11.240875912408754,1294600.0,7084051200.0,True,771013577088.0,True
6787,メイコー,プライム（内国株式）,電気機器,17160.0,-2.166476624857472,-5.97260273972603,-27.95969773299748,563300.0,9666228000.0,True,459944971200.0,True
