edinet_code,sec_code,doc_id,filer_name,period_end,submit_date,doc_description
E05545,3788,S100XREJ,ＧＭＯグローバルサイン・ホールディングス株式会社,2025-12-31,2026-03-18,有価証券報告書－第33期(2025/01/01－2025/12/31)
E01086,5108,S100XRPR,株式会社ブリヂストン,2025-12-31,2026-03-18,有価証券報告書－第107期(2025/01/01－2025/12/31)
E30841,7172,S100XRRA,株式会社ジャパンインベストメントアドバイザー,2025-12-31,2026-03-18,有価証券報告書－第20期(2025/01/01－2025/12/31)
E02389,7989,S100XRWE,立川ブラインド工業株式会社,2025-12-31,2026-03-18,有価証券報告書－第80期(2025/01/01－2025/12/31)
E05467,2429,S100XRUO,株式会社ワールドホールディングス,2025-12-31,2026-03-18,有価証券報告書－第33期(2025/01/01－2025/12/31)
E27486,4587,S100XRP4,ペプチドリーム株式会社,2025-12-31,2026-03-18,有価証券報告書－第20期(2025/01/01－2025/12/31)
E01678,6481,S100XRWN,ＴＨＫ株式会社,2025-12-31,2026-03-18,有価証券報告書－第56期(2025/01/01－2025/12/31)
E01114,5184,S100XRDM,株式会社ニチリン,2025-12-31,2026-03-18,有価証券報告書－第142期(2025/01/01－2025/12/31)
E00664,3944,S100XRPZ,古林紙工株式会社,2025-12-31,2026-03-19,有価証券報告書－第96期(2025/01/01－2025/12/31)
E00903,4634,S100XRLA,ａｒｔｉｅｎｃｅ株式会社,2025-12-31,2026-03-19,有価証券報告書－第188期(2025/01/01－2025/12/31)
E02404,7956,S100XS40,ピジョン株式会社,2025-12-31,2026-03-19,有価証券報告書－第69期(2025/01/01－2025/12/31)
E22101,3633,S100XS5R,ＧＭＯペパボ株式会社,2025-12-31,2026-03-19,有価証券報告書－第24期(2025/01/01－2025/12/31)
E05494,3776,S100WZGB,株式会社ブロードバンドタワー,2025-12-31,2026-03-19,有価証券報告書－第47期(2025/01/01－2025/12/31)
E34276,7037,S100XRYQ,株式会社テノ．ホールディングス,2025-12-31,2026-03-19,有価証券報告書－第11期(2025/01/01－2025/12/31)
E02081,6723,S100XR06,ルネサスエレクトロニクス株式会社,2025-12-31,2026-03-19,有価証券報告書－第24期(2025/01/01－2025/12/31)
E00397,2533,S100XRFQ,オエノンホールディングス株式会社,2025-12-31,2026-03-19,有価証券報告書－第119期(2025/01/01－2025/12/31)
E02322,7744,S100XS3C,ノーリツ鋼機株式会社,2025-12-31,2026-03-19,有価証券報告書－第71期(2025/01/01－2025/12/31)
E00373,2206,S100XRXN,江崎グリコ株式会社,2025-12-31,2026-03-19,有価証券報告書－第121期(2025/01/01－2025/12/31)
E01660,6498,S100XS6X,株式会社キッツ,2025-12-31,2026-03-19,有価証券報告書－第112期(2025/01/01－2025/12/31)
E33039,3983,S100XR9Z,株式会社オロ,2025-12-31,2026-03-19,有価証券報告書－第28期(2025/01/01－2025/12/31)
E32664,9160,S100XSAX,株式会社ノバレーゼ,2025-12-31,2026-03-19,有価証券報告書－第10期(2025/01/01－2025/12/31)
E03366,2702,S100XS22,日本マクドナルドホールディングス株式会社,2025-12-31,2026-03-19,有価証券報告書－第55期(2025/01/01－2025/12/31)
E00417,2579,S100XR1L,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,2026-03-19,有価証券報告書－第68期(2025/01/01－2025/12/31)
E35959,4012,S100XS04,株式会社アクシス,2025-12-31,2026-03-19,有価証券報告書－第35期(2025/01/01－2025/12/31)
E05474,3765,S100XRW5,ガンホー・オンライン・エンターテイメント株式会社,2025-12-31,2026-03-19,有価証券報告書－第29期(2025/01/01－2025/12/31)
E35340,2982,S100XS5K,株式会社ＡＤワークスグループ,2025-12-31,2026-03-19,有価証券報告書－第6期(2025/01/01－2025/12/31)
E00736,7849,S100XSPB,スターツ出版株式会社,2025-12-31,2026-03-23,有価証券報告書－第43期(2025/01/01－2025/12/31)
E00905,4633,S100XSP9,サカタインクス株式会社,2025-12-31,2026-03-23,有価証券報告書－第148期(2025/01/01－2025/12/31)
E31723,6171,S100XSOI,株式会社土木管理総合試験所,2025-12-31,2026-03-23,有価証券報告書－第41期(2025/01/01－2025/12/31)
E00901,4631,S100XS2N,ＤＩＣ株式会社,2025-12-31,2026-03-23,有価証券報告書－第128期(2025/01/01－2025/12/31)
E05609,2492,S100XSO1,株式会社インフォマート,2025-12-31,2026-03-23,有価証券報告書－第28期(2025/01/01－2025/12/31)
E27622,2587,S100XSOA,サントリー食品インターナショナル株式会社,2025-12-31,2026-03-23,有価証券報告書－第17期(2025/01/01－2025/12/31)
E01901,6856,S100XSIJ,株式会社堀場製作所,2025-12-31,2026-03-23,有価証券報告書－第88期(2025/01/01－2025/12/31)
E04048,8996,S100XS94,株式会社ハウスフリーダム,2025-12-31,2026-03-23,有価証券報告書－第31期(2025/01/01－2025/12/31)
E31037,4248,S100XSML,竹本容器株式会社,2025-12-31,2026-03-23,有価証券報告書－第75期(2025/01/01－2025/12/31)
E27361,3673,S100XS43,株式会社ブロードリーフ,2025-12-31,2026-03-23,有価証券報告書－第17期(2025/01/01－2025/12/31)
E00374,2211,S100XS9W,株式会社不二家,2025-12-31,2026-03-23,有価証券報告書－第131期(2025/01/01－2025/12/31)
E00703,7915,S100XS06,ＮＩＳＳＨＡ株式会社,2025-12-31,2026-03-23,有価証券報告書－第107期(2025/01/01－2025/12/31)
E33588,6560,S100XRW4,株式会社エル・ティー・エス,2025-12-31,2026-03-23,有価証券報告書－第24期(2025/01/01－2025/12/31)
E00678,8113,S100XSEU,ユニ・チャーム株式会社,2025-12-31,2026-03-23,有価証券報告書－第66期(2025/01/01－2025/12/31)
E31023,3901,S100XSGJ,マークラインズ株式会社,2025-12-31,2026-03-23,有価証券報告書－第25期(2025/01/01－2025/12/31)
E01596,6440,S100XSJU,ＪＵＫＩ株式会社,2025-12-31,2026-03-23,有価証券報告書－第111期(2025/01/01－2025/12/31)
E04560,9722,S100XS71,藤田観光株式会社,2025-12-31,2026-03-23,有価証券報告書－第93期(2025/01/01－2025/12/31)
E21122,3964,S100XSDA,株式会社オークネット,2025-12-31,2026-03-23,有価証券報告書－第18期(2025/01/01－2025/12/31)
E34130,5699,S100XSK6,株式会社イボキン,2025-12-31,2026-03-23,有価証券報告書－第42期(2025/01/01－2025/12/31)
E35220,4251,S100XS6Z,恵和株式会社,2025-12-31,2026-03-23,有価証券報告書－第79期(2025/01/01－2025/12/31)
E27054,2931,S100XSL3,株式会社ユーグレナ,2025-12-31,2026-03-23,有価証券報告書－第21期(2025/01/01－2025/12/31)
E05041,9449,S100XSG3,ＧＭＯインターネットグループ株式会社,2025-12-31,2026-03-23,有価証券報告書－第35期(2025/01/01－2025/12/31)
E01542,6361,S100XS6E,株式会社荏原製作所,2025-12-31,2026-03-23,有価証券報告書－第161期(2025/01/01－2025/12/31)
E00834,4221,S100XSNI,大倉工業株式会社,2025-12-31,2026-03-23,有価証券報告書－第106期(2025/01/01－2025/12/31)
E01054,4971,S100XRJV,メック株式会社,2025-12-31,2026-03-23,有価証券報告書－第57期(2025/01/01－2025/12/31)
E02168,7272,S100XRTH,ヤマハ発動機株式会社,2025-12-31,2026-03-23,有価証券報告書－第91期(2025/01/01－2025/12/31)
E03859,8804,S100XSKF,東京建物株式会社,2025-12-31,2026-03-23,有価証券報告書－第208期(2025/01/01－2025/12/31)
E26815,7177,S100XSFM,ＧＭＯフィナンシャルホールディングス株式会社,2025-12-31,2026-03-23,有価証券報告書－第15期(2025/01/01－2025/12/31)
E41149,471A,S100XSQQ,ＮＳグループ株式会社,2025-12-31,2026-03-23,有価証券報告書－第5期(2025/01/01－2025/12/31)
E00990,4911,S100XSCU,株式会社資生堂,2025-12-31,2026-03-23,有価証券報告書－第126期(2025/01/01－2025/12/31)
