doc_id,scope,revenue_y0,revenue_y1,revenue_y2,revenue_y3,revenue_y4,revenue_tag,ordinary_income_y0,ordinary_income_y1,ordinary_income_y2,ordinary_income_y3,ordinary_income_y4,ordinary_income_tag,net_assets,net_assets_tag,net_assets_y0,net_assets_y1,net_assets_y2,net_assets_y3,net_assets_y4,shares_issued_prior1,roe_pct,roe_tag,equity_ratio_pct,equity_ratio_tag,dps,eps,eps_tag,shares_issued,current_assets,current_liabilities,operating_income,operating_income_tag,ocf,ocf_tag,icf,icf_tag,cash_and_equivalents,capex,interest_bearing_debt,interest_expense,interest_expense_tag,edinet_code,sec_code,period_end,name,market,sector33,sector17,size
S100WJZQ,連結,334540000000.0,366096000000.0,372579000000.0,356733000000.0,309240000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,20379000000.0,22496000000.0,15366000000.0,7152000000.0,-460000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,141134000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,49795000000.0,67162000000.0,71640000000.0,154677000000.0,141134000000.0,41690300.0,-6.1,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,50.9,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,75.0,-221.8,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,40190300.0,188948000000.0,87728000000.0,-1237000000.0,jppfs_cor:OperatingIncome,4327000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-47600000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,78664000000.0,18623000000.0,31814000000.0,331000000.0,jppfs_cor:InterestExpensesNOE,E05729,2168,2025-05-31,パソナグループ,プライム（内国株式）,サービス業,情報通信・サービスその他,TOPIX Small 1
S100WK2E,連結,221551000000.0,224150000000.0,242243000000.0,270077000000.0,292940000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,8827000000.0,8923000000.0,4844000000.0,9543000000.0,10088000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,61064000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,41537000000.0,46802000000.0,49518000000.0,55496000000.0,61064000000.0,14489800.0,11.700000000000001,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,52.400000000000006,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,39.0,486.03,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,14502400.0,25200000000.0,46190000000.0,9812000000.0,jppfs_cor:OperatingIncome,11438000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-16766000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,8488000000.0,20406000000.0,15006000000.0,52000000.0,jppfs_cor:InterestExpensesNOE,E03423,2791,2025-05-31,大黒天物産,プライム（内国株式）,小売業,小売,TOPIX Small 1
S100WK81,個別,208523000000.0,214691000000.0,226914000000.0,244542000000.0,263510000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,70904000000.0,73543000000.0,74681000000.0,80277000000.0,87454000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,163681000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,219999000000.0,125355000000.0,155854000000.0,191795000000.0,163681000000.0,128293371.0,34.2,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,51.7,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,190.0,473.98,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,128304471.0,203861000000.0,152722000000.0,86832000000.0,jppfs_cor:OperatingIncome,66599000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-1956000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,66616000000.0,1848000000.0,,,,E05027,4716,2025-05-31,日本オラクル,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,TOPIX Mid400
S100WK8P,連結,338476000000.0,350744000000.0,380963000000.0,422330000000.0,457093000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,19061000000.0,18665000000.0,19428000000.0,20882000000.0,23414000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,142720000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,96638000000.0,106323000000.0,116409000000.0,130243000000.0,142720000000.0,66819342.0,11.5,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,60.3,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,78.0,242.82,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,66819342.0,112041000000.0,84668000000.0,22625000000.0,jppfs_cor:OperatingIncome,23625000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-20700000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,37346000000.0,21908000000.0,,,,E21606,3148,2025-05-31,クリエイトＳＤホールディングス,プライム（内国株式）,小売業,小売,TOPIX Small 1
S100WKEQ,連結,24777462000.0,25317659000.0,27568134000.0,29278256000.0,29678785000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,2881015000.0,3680330000.0,3983499000.0,4307541000.0,4239462000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,30727178000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,22468267000.0,23363746000.0,25082389000.0,28001475000.0,30727178000.0,13153293.0,14.099999999999998,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,75.7,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,120.0,314.0,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,13153293.0,26111519000.0,7567975000.0,4048821000.0,jppfs_cor:OperatingIncome,4366622000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,1271601000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,19041487000.0,970000000.0,208890000.0,1798000.0,jppfs_cor:InterestExpensesNOE,E00710,7921,2025-05-31,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
S100WKFZ,連結,33880617000.0,42519490000.0,43271852000.0,38899784000.0,98176390000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,1000917000.0,2134740000.0,2452283000.0,1706135000.0,2377327000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,15706805000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,9971019000.0,11631506000.0,13096984000.0,14487504000.0,15706805000.0,7965401.0,11.3,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,39.2,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,60.0,212.97,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,7969594.0,37918528000.0,23818455000.0,2148296000.0,jppfs_cor:OperatingIncome,-9217715000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-214301000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,4357211000.0,276000000.0,11700000000.0,91333000.0,jppfs_cor:InterestExpensesNOE,E02968,3321,2025-05-31,ミタチ産業,スタンダード（内国株式）,卸売業,商社・卸売,-
S100WKIB,連結,70131000000.0,55145000000.0,58195000000.0,61555000000.0,64486000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,1026000000.0,1003000000.0,1206000000.0,1020000000.0,909000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,8988000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,7579000000.0,8005000000.0,7924000000.0,8556000000.0,8988000000.0,2553000.0,7.000000000000001,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,32.6,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,75.0,249.79,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,2553000.0,21766000000.0,18087000000.0,838000000.0,jppfs_cor:OperatingIncome,617000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,19000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,5698000000.0,411000000.0,,6000000.0,jppfs_cor:InterestExpensesNOE,E33393,9265,2025-05-31,ヤマシタヘルスケアホールディングス,スタンダード（内国株式）,卸売業,商社・卸売,-
S100WKJF,連結,45368232000.0,47695638000.0,54888527000.0,56571603000.0,57701337000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,3971820000.0,5057327000.0,8021505000.0,7281734000.0,5989308000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,44706952000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,35714165000.0,37754392000.0,40754924000.0,44799722000.0,44706952000.0,27900000.0,8.3,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,84.39999999999999,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,55.0,133.92,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,27900000.0,30789275000.0,5218529000.0,5906119000.0,jppfs_cor:OperatingIncome,4918898000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-2264395000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,13355934000.0,3937000000.0,,,,E03424,2792,2025-05-31,ハニーズホールディングス,プライム（内国株式）,小売業,小売,TOPIX Small 2
S100WKKV,連結,117803000000.0,126790000000.0,154202000000.0,135701000000.0,123349000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,10585000000.0,8398000000.0,4639000000.0,-9343000000.0,1945000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,66429000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,74211000000.0,79946000000.0,78029000000.0,68591000000.0,66429000000.0,93255000.0,2.0,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,47.099999999999994,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,22.0,16.62,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,89255000.0,112609000000.0,55627000000.0,2318000000.0,jppfs_cor:OperatingIncome,3793000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-3876000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,18136000000.0,,28605000000.0,359000000.0,jppfs_cor:InterestExpensesNOE,E00059,1887,2025-05-31,日本国土開発,プライム（内国株式）,建設業,建設・資材,TOPIX Small 2
S100WKLO,連結,8765878000.0,10354103000.0,11367532000.0,11213162000.0,11580528000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,1152999000.0,1614776000.0,1690228000.0,1349032000.0,1269324000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,17769059000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,13862967000.0,14966265000.0,16332386000.0,17142234000.0,17769059000.0,7552000.0,5.680000000000001,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,86.9,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,42.0,139.23,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,7552000.0,11943814000.0,1756414000.0,1131044000.0,jppfs_cor:OperatingIncome,379921000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-418337000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,3284876000.0,384000000.0,204138000.0,4443000.0,jppfs_cor:InterestExpensesNOE,E02323,7713,2025-05-31,シグマ光機,スタンダード（内国株式）,精密機器,電機・精密,-
